-> Errors in file : validator.log
Position 49 : EVAL : Empty feature evaluation, in file : /org.acceleo.module.pim.uml21.gen.java/org/acceleo/module/pim/uml21/gen/java/validator/lib.mt, at line : 20, at column : 44, for object : fragment=_InFUsDowEeKGE-IfVMkB-g file=/resource/MDD_Assignment2/model/University.uml
Position 100 : EVAL : Empty feature evaluation, in file : /org.acceleo.module.pim.uml21.gen.java/org/acceleo/module/pim/uml21/gen/java/validator/lib.mt, at line : 20, at column : 44, for object : fragment=_TMVcIDowEeKGE-IfVMkB-g file=/resource/MDD_Assignment2/model/University.uml
Position 151 : EVAL : Empty feature evaluation, in file : /org.acceleo.module.pim.uml21.gen.java/org/acceleo/module/pim/uml21/gen/java/validator/lib.mt, at line : 20, at column : 44, for object : fragment=_WL9O8DowEeKGE-IfVMkB-g file=/resource/MDD_Assignment2/model/University.uml
Position 202 : EVAL : Empty feature evaluation, in file : /org.acceleo.module.pim.uml21.gen.java/org/acceleo/module/pim/uml21/gen/java/validator/lib.mt, at line : 20, at column : 44, for object : fragment=_e7HXcDowEeKGE-IfVMkB-g file=/resource/MDD_Assignment2/model/University.uml
Position 253 : EVAL : Empty feature evaluation, in file : /org.acceleo.module.pim.uml21.gen.java/org/acceleo/module/pim/uml21/gen/java/validator/lib.mt, at line : 20, at column : 44, for object : fragment=_lo76UDowEeKGE-IfVMkB-g file=/resource/MDD_Assignment2/model/University.uml
Position 304 : EVAL : Empty feature evaluation, in file : /org.acceleo.module.pim.uml21.gen.java/org/acceleo/module/pim/uml21/gen/java/validator/lib.mt, at line : 20, at column : 44, for object : fragment=_nf9tYDowEeKGE-IfVMkB-g file=/resource/MDD_Assignment2/model/University.uml
Position 355 : EVAL : Empty feature evaluation, in file : /org.acceleo.module.pim.uml21.gen.java/org/acceleo/module/pim/uml21/gen/java/validator/lib.mt, at line : 20, at column : 44, for object : fragment=_oDuhwDowEeKGE-IfVMkB-g file=/resource/MDD_Assignment2/model/University.uml
Position 406 : EVAL : Empty feature evaluation, in file : /org.acceleo.module.pim.uml21.gen.java/org/acceleo/module/pim/uml21/gen/java/validator/lib.mt, at line : 20, at column : 44, for object : fragment=_snIbgDowEeKGE-IfVMkB-g file=/resource/MDD_Assignment2/model/University.uml
Position 457 : EVAL : Empty feature evaluation, in file : /org.acceleo.module.pim.uml21.gen.java/org/acceleo/module/pim/uml21/gen/java/validator/lib.mt, at line : 20, at column : 44, for object : fragment=_t6AYoDowEeKGE-IfVMkB-g file=/resource/MDD_Assignment2/model/University.uml
Position 508 : EVAL : Empty feature evaluation, in file : /org.acceleo.module.pim.uml21.gen.java/org/acceleo/module/pim/uml21/gen/java/validator/lib.mt, at line : 20, at column : 44, for object : fragment=_v-VA0DowEeKGE-IfVMkB-g file=/resource/MDD_Assignment2/model/University.uml

